role,salary_range
Data Scientist,₹ 4.5 Lakhs - ₹ 26.0 Lakhs
Web Developer,₹ 2.0 Lakhs - ₹ 9.0 Lakhs
Software Engineer,₹ 3.5 Lakhs - ₹ 15.0 Lakhs
Java Developer,₹ 3.0 Lakhs - ₹ 12.5 Lakhs
Python Developer,₹ 3.0 Lakhs - ₹ 10.0 Lakhs
DevOps Engineer,₹ 5.0 Lakhs - ₹ 22.0 Lakhs
Data Analyst,₹ 2.5 Lakhs - ₹ 11.5 Lakhs
Machine Learning Engineer,₹ 5.0 Lakhs - ₹ 25.0 Lakhs
Frontend Developer,₹ 3.0 Lakhs - ₹ 12.0 Lakhs
Backend Developer,₹ 4.0 Lakhs - ₹ 18.0 Lakhs
Project Manager,₹ 7.0 Lakhs - ₹ 30.0 Lakhs
Full Stack Developer,₹ 4.0 Lakhs - ₹ 16.0 Lakhs
Business Analyst,₹ 4.0 Lakhs - ₹ 16.0 Lakhs
Android Developer,₹ 3.0 Lakhs - ₹ 12.0 Lakhs
iOS Developer,₹ 3.5 Lakhs - ₹ 14.0 Lakhs
Cloud Engineer,₹ 4.5 Lakhs - ₹ 20.0 Lakhs
Cyber Security Analyst,₹ 4.0 Lakhs - ₹ 18.0 Lakhs
QA Engineer,₹ 2.5 Lakhs - ₹ 10.0 Lakhs
UI/UX Designer,₹ 3.0 Lakhs - ₹ 12.0 Lakhs
System Administrator,₹ 2.5 Lakhs - ₹ 9.0 Lakhs
Blockchain Developer,₹ 5.0 Lakhs - ₹ 22.0 Lakhs
Product Manager,₹ 10.0 Lakhs - ₹ 35.0 Lakhs
Technical Writer,₹ 3.0 Lakhs - ₹ 10.0 Lakhs
Network Engineer,₹ 2.5 Lakhs - ₹ 8.0 Lakhs
Salesforce Developer,₹ 4.5 Lakhs - ₹ 14.0 Lakhs
Database Administrator,₹ 4.0 Lakhs - ₹ 15.0 Lakhs
Embedded Systems Engineer,₹ 3.5 Lakhs - ₹ 12.0 Lakhs
Game Developer,₹ 3.0 Lakhs - ₹ 10.0 Lakhs
Site Reliability Engineer,₹ 6.0 Lakhs - ₹ 25.0 Lakhs
AI Engineer,₹ 6.0 Lakhs - ₹ 28.0 Lakhs